Question,Response
Can we talk about that project now?,"I'm thinking of a road trip, actually."
Why do you seem so distant these days?,"I'm not sure, maybe it's just stress."
Why didn't you call me back last night?,"Sure, let's go over the details."
Do you think we'll finish this task on time?,"Yes, it's beautiful! You should definitely visit."
Why didn't you call me back last night?,"I'm thinking of a road trip, actually."
Do you think we'll finish this task on time?,"Yes, it's beautiful! You should definitely visit."
Do you think we'll finish this task on time?,"Sure, let's go over the details."
"I am thinking of learning a new language, any suggestions?",I've just had a lot on my mind recently.
"I heard you got a new job, how is it going?","Honestly, I think it's going to change a lot of things."
Why do you seem so distant these days?,"I'm not sure, maybe it's just stress."
Have you ever been to Paris?,"I'm thinking of a road trip, actually."
What's been bothering you lately?,"Sure, let's go over the details."
What are your plans for the weekend?,"I'm not sure, maybe it's just stress."
"I heard you got a new job, how is it going?",It's challenging but rewarding.
"I am thinking of learning a new language, any suggestions?","I'm really sorry, something came up."
Could you share your thoughts on the recent elections?,I've just had a lot on my mind recently.
"I heard you got a new job, how is it going?","Honestly, I think it's going to change a lot of things."
"I am thinking of learning a new language, any suggestions?","Yes, it's beautiful! You should definitely visit."
Could you share your thoughts on the recent elections?,"I'm really sorry, something came up."
What's been bothering you lately?,I've just had a lot on my mind recently.
What's been bothering you lately?,"Honestly, I think it's going to change a lot of things."
Why do you seem so distant these days?,It's challenging but rewarding.
Why do you seem so distant these days?,"If we push hard, we definitely can."
Why didn't you call me back last night?,I've just had a lot on my mind recently.
Could you share your thoughts on the recent elections?,"I'm really sorry, something came up."
Why do you seem so distant these days?,It's challenging but rewarding.
Why didn't you call me back last night?,"I'm really sorry, something came up."
Could you share your thoughts on the recent elections?,I've just had a lot on my mind recently.
Could you share your thoughts on the recent elections?,"Sure, let's go over the details."
What's been bothering you lately?,"Yes, it's beautiful! You should definitely visit."
Why didn't you call me back last night?,It's challenging but rewarding.
What's been bothering you lately?,"I'm not sure, maybe it's just stress."
Can we talk about that project now?,It's challenging but rewarding.
What are your plans for the weekend?,"Sure, let's go over the details."
Do you think we'll finish this task on time?,"Honestly, I think it's going to change a lot of things."
Have you ever been to Paris?,"I'm thinking of a road trip, actually."
Why didn't you call me back last night?,"I'm really sorry, something came up."
Could you share your thoughts on the recent elections?,"Honestly, I think it's going to change a lot of things."
Do you think we'll finish this task on time?,"I'm really sorry, something came up."
Can we talk about that project now?,"If we push hard, we definitely can."
What's been bothering you lately?,"Yes, it's beautiful! You should definitely visit."
Why didn't you call me back last night?,"If we push hard, we definitely can."
Why didn't you call me back last night?,"I'm really sorry, something came up."
Have you ever been to Paris?,I've just had a lot on my mind recently.
Have you ever been to Paris?,"I'm thinking of a road trip, actually."
"I heard you got a new job, how is it going?",It's challenging but rewarding.
Why didn't you call me back last night?,I've just had a lot on my mind recently.
Do you think we'll finish this task on time?,I'd say start with something like Spanish.
Do you think we'll finish this task on time?,I'd say start with something like Spanish.
Why didn't you call me back last night?,I've just had a lot on my mind recently.
"I am thinking of learning a new language, any suggestions?","Sure, let's go over the details."
"I heard you got a new job, how is it going?","If we push hard, we definitely can."
"I heard you got a new job, how is it going?",It's challenging but rewarding.
Can we talk about that project now?,"I'm not sure, maybe it's just stress."
Could you share your thoughts on the recent elections?,"Sure, let's go over the details."
What's been bothering you lately?,"I'm not sure, maybe it's just stress."
Why didn't you call me back last night?,"I'm thinking of a road trip, actually."
Have you ever been to Paris?,"I'm not sure, maybe it's just stress."
Why do you seem so distant these days?,"I'm not sure, maybe it's just stress."
Can we talk about that project now?,"If we push hard, we definitely can."
Why do you seem so distant these days?,I've just had a lot on my mind recently.
Do you think we'll finish this task on time?,"I'm not sure, maybe it's just stress."
Could you share your thoughts on the recent elections?,"If we push hard, we definitely can."
Do you think we'll finish this task on time?,"Honestly, I think it's going to change a lot of things."
