Question,Response,Emotion,Dialogue Act,Conversation Type
"I am thinking of learning a new language, any suggestions?","I'm not sure, maybe it's just stress.",disgust,commissive,ordinary life
Have you ever been to Paris?,"I'm not sure, maybe it's just stress.",disgust,question,health
What's been bothering you lately?,I've just had a lot on my mind recently.,anger,commissive,school life
What's been bothering you lately?,"If we push hard, we definitely can.",fear,commissive,ordinary life
Why do you seem so distant these days?,"If we push hard, we definitely can.",sadness,directive,work
Why do you seem so distant these days?,"Yes, it's beautiful! You should definitely visit.",happiness,inform,attitude & emotion
Why didn't you call me back last night?,"If we push hard, we definitely can.",surprise,question,attitude & emotion
Why didn't you call me back last night?,I'd say start with something like Spanish.,happiness,inform,culture & education
Why didn't you call me back last night?,"I'm really sorry, something came up.",sadness,question,attitude & emotion
"I heard you got a new job, how is it going?","Sure, let's go over the details.",anger,question,health
Do you think we'll finish this task on time?,"If we push hard, we definitely can.",happiness,question,attitude & emotion
"I am thinking of learning a new language, any suggestions?","If we push hard, we definitely can.",fear,question,attitude & emotion
Do you think we'll finish this task on time?,I've just had a lot on my mind recently.,anger,commissive,tourism
Do you think we'll finish this task on time?,"Sure, let's go over the details.",anger,inform,ordinary life
Why didn't you call me back last night?,"I'm thinking of a road trip, actually.",happiness,inform,politics
Have you ever been to Paris?,I've just had a lot on my mind recently.,fear,directive,attitude & emotion
Could you share your thoughts on the recent elections?,"I'm thinking of a road trip, actually.",sadness,commissive,health
What are your plans for the weekend?,"I'm not sure, maybe it's just stress.",sadness,directive,ordinary life
Why didn't you call me back last night?,"I'm not sure, maybe it's just stress.",surprise,directive,attitude & emotion
Why didn't you call me back last night?,"Sure, let's go over the details.",anger,question,politics
"I heard you got a new job, how is it going?","Yes, it's beautiful! You should definitely visit.",disgust,directive,attitude & emotion
Could you share your thoughts on the recent elections?,"I'm really sorry, something came up.",disgust,question,finance
"I heard you got a new job, how is it going?","Yes, it's beautiful! You should definitely visit.",surprise,directive,culture & education
"I heard you got a new job, how is it going?",It's challenging but rewarding.,disgust,inform,politics
Could you share your thoughts on the recent elections?,"I'm not sure, maybe it's just stress.",disgust,commissive,tourism
"I heard you got a new job, how is it going?","If we push hard, we definitely can.",sadness,commissive,school life
Why do you seem so distant these days?,"If we push hard, we definitely can.",disgust,directive,politics
Could you share your thoughts on the recent elections?,"I'm really sorry, something came up.",disgust,directive,culture & education
Can we talk about that project now?,"Yes, it's beautiful! You should definitely visit.",disgust,inform,attitude & emotion
"I heard you got a new job, how is it going?","I'm not sure, maybe it's just stress.",happiness,commissive,work
"I heard you got a new job, how is it going?","I'm thinking of a road trip, actually.",fear,question,relationship
"I am thinking of learning a new language, any suggestions?","Yes, it's beautiful! You should definitely visit.",anger,directive,health
Can we talk about that project now?,"I'm really sorry, something came up.",sadness,directive,attitude & emotion
"I heard you got a new job, how is it going?",It's challenging but rewarding.,anger,question,culture & education
"I am thinking of learning a new language, any suggestions?","Yes, it's beautiful! You should definitely visit.",surprise,directive,ordinary life
Why didn't you call me back last night?,"I'm really sorry, something came up.",disgust,question,culture & education
Why do you seem so distant these days?,"I'm thinking of a road trip, actually.",disgust,question,attitude & emotion
What are your plans for the weekend?,"I'm thinking of a road trip, actually.",disgust,commissive,finance
Do you think we'll finish this task on time?,"I'm really sorry, something came up.",fear,question,health
Have you ever been to Paris?,I'd say start with something like Spanish.,anger,question,attitude & emotion
What are your plans for the weekend?,"Honestly, I think it's going to change a lot of things.",disgust,question,tourism
What's been bothering you lately?,I'd say start with something like Spanish.,disgust,directive,culture & education
What's been bothering you lately?,"I'm not sure, maybe it's just stress.",surprise,commissive,culture & education
What's been bothering you lately?,"Honestly, I think it's going to change a lot of things.",happiness,question,tourism
Do you think we'll finish this task on time?,"If we push hard, we definitely can.",fear,directive,relationship
Why didn't you call me back last night?,I've just had a lot on my mind recently.,disgust,directive,ordinary life
Do you think we'll finish this task on time?,"I'm thinking of a road trip, actually.",disgust,commissive,school life
Why didn't you call me back last night?,"Sure, let's go over the details.",happiness,directive,health
Can we talk about that project now?,"Sure, let's go over the details.",fear,commissive,finance
Why didn't you call me back last night?,I've just had a lot on my mind recently.,anger,question,finance
Do you think we'll finish this task on time?,"I'm really sorry, something came up.",anger,inform,attitude & emotion
